"Código
da
variável",descrição,Tipo ,Descrição
Q092,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de depressão?,1,Sim
Q092,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de depressão?,2,Não
Q092,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de depressão?,,Não aplicável
Q11001,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como esquizofrenia?",1,Sim
Q11001,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como esquizofrenia?",2,Não
Q11001,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como esquizofrenia?",,Não aplicável
Q11002,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como transtorno bipolar?",1,Sim
Q11002,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como transtorno bipolar?",2,Não
Q11002,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como transtorno bipolar?",,Não aplicável
Q11003,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como psicose ou TOC (Transtorno obsessivo compulsivo)?",1,Sim
Q11003,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como psicose ou TOC (Transtorno obsessivo compulsivo)?",2,Não
Q11003,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como psicose ou TOC (Transtorno obsessivo compulsivo)?",,Não aplicável
Q11004,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental?,1,Sim
Q11004,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental?,2,Não
Q11004,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental?,,Não aplicável
Q116,"Algum médico já lhe deu o diagnóstico de alguma doença no pulmão ou DPOC (Doença Pulmonar Obstrutiva Crônica), tais como  enfisema pulmonar, bronquite crônica ou outro?",1,Sim
Q116,"Algum médico já lhe deu o diagnóstico de alguma doença no pulmão ou DPOC (Doença Pulmonar Obstrutiva Crônica), tais como  enfisema pulmonar, bronquite crônica ou outro?",2,Não
Q116,"Algum médico já lhe deu o diagnóstico de alguma doença no pulmão ou DPOC (Doença Pulmonar Obstrutiva Crônica), tais como  enfisema pulmonar, bronquite crônica ou outro?",,Não aplicável
Q120,Algum médico já lhe deu diagnóstico de câncer? ,1,Sim
Q120,Algum médico já lhe deu diagnóstico de câncer? ,2,Não
Q120,Algum médico já lhe deu diagnóstico de câncer? ,,Não aplicável
Q124,Algum médico já lhe deu o diagnóstico de insuficiência renal crônica? ,1,Sim
Q124,Algum médico já lhe deu o diagnóstico de insuficiência renal crônica? ,2,Não
Q124,Algum médico já lhe deu o diagnóstico de insuficiência renal crônica? ,,Não aplicável
Q132,"Nas últimas duas semanas, o(a) Sr(a) fez uso de algum medicamento para dormir? ",1,Sim
Q132,"Nas últimas duas semanas, o(a) Sr(a) fez uso de algum medicamento para dormir? ",2,Não
Q132,"Nas últimas duas semanas, o(a) Sr(a) fez uso de algum medicamento para dormir? ",,Não aplicável
R041,A Sra já teve algum aborto espontâneo?,1,Sim                
R041,A Sra já teve algum aborto espontâneo?,2,Não               
R041,A Sra já teve algum aborto espontâneo?,,Não aplicável
R042,A Sra já teve algum aborto provocado?,1,Sim                
R042,A Sra já teve algum aborto provocado?,2,Não               
R042,A Sra já teve algum aborto provocado?,,Não aplicável
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,1,Sem instrução
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,2,Fundamental incompleto ou equivalente
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,3,Fundamental completo ou equivalente
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,4,Médio incompleto ou equivalente
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,5,Médio completo ou equivalente
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,6,Superior incompleto ou equivalente
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,7,Superior completo 
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,,Não aplicável
